Line 77: import static launcher.Utility.WorldCommunity.사피;

Line 114:     public boolean is사피() {

Line 115:         return 사피;

Line 118:     public void 사피() {

Line 119:         WorldCommunity.사피();

Line 122:     public void 사피끝() {

Line 123:         WorldBroadcasting.broadcastMessage(MainPacketCreator.getGMText(11, "여러분 아쉽지만 이벤트가 끝나 버렸어요... 다음에 또 만나요~"));

Line 124:         사피 = false;

Line 360:                 // 여기까지 UI잠금 

Line 370:                 // 여기까지 뭔지 모르겠음 의미없어보임

Line 1314:         getClient().getSession().writeAndFlush(MainPacketCreator.OnAddPopupSay(1052230, 3500, "#face1#프로즌 링크 몬스터수를 충전했어!", ""));

Line 1602:     public void increaseGuildCapacity() { //길드 인원 늘리기

Line 1604:             c.getSession().writeAndFlush(MainPacketCreator.serverNotice(1, "1000만 메소가 충분하지 않습니다."));

Line 2081:             MapleRing.makeRing(itemid, chr, item.getUniqueId(), item1.getUniqueId()); //내꺼

Line 2082:             MapleRing.makeRing(itemid, getPlayer(), item1.getUniqueId(), item.getUniqueId());//파트너꺼

Line 2087:             sendOk("선택하신 반지를 제작 완료 하였습니다. 인벤토리를 확인해 봐주시길 바랍니다.");

Line 2088:             chr.dropMessage(5, getPlayer().getName() + "님으로 부터 반지가 도착 하였습니다. 인벤토리를 확인해 주시길 바랍니다.");

Line 2090:             sendOk("반지를 제작하는데 오류가 발생 하였습니다.");

Line 3515:             cm.sendOk("검색어는 2글자 이상이어야 합니다.");

Line 3519:         c.send(UIPacket.greenShowInfo(gomgo + "(으)로 검색중입니다. 잠시만 기다려주세요."));

Line 3537:             chat = "발견된 아이템이 없습니다.";

Line 3642: 						{ // 스킬창에 안보이는 스킬은 올리지않음

Line 3678:                     c.getPlayer().dropMessage(5, "누적 데미지 : " + c.getPlayer().getDamageMeter() + " 기록이 저장 되었습니다.");

Line 3688:                                         //chr.dropMessage(5, "ZI존 딜량1등 자격이 박탈되어, 칭호가 회수되었습니다.");

Line 3693:                         WorldBroadcasting.broadcastMessage(MainPacketCreator.OnAddPopupSay(9000036, 3000, "#b" + c.getPlayer().getName() + "#k님이 새로운 #e딜량 미터기 1위#k가 되었습니다.", ""));

